version,baseline,commit,measurement_index,energy_cores_consumption,energy_pkg_consumption
original,true,070ed6e7dc3f17c641b484e580554d016a1420d3,1,5.32,5.55
original,true,070ed6e7dc3f17c641b484e580554d016a1420d3,2,5.56,5.71
original,true,070ed6e7dc3f17c641b484e580554d016a1420d3,3,5.58,5.71
original,true,070ed6e7dc3f17c641b484e580554d016a1420d3,4,5.6,5.74
original,true,070ed6e7dc3f17c641b484e580554d016a1420d3,5,5.43,5.61
original,true,070ed6e7dc3f17c641b484e580554d016a1420d3,6,5.45,5.64
original,true,070ed6e7dc3f17c641b484e580554d016a1420d3,7,5.36,5.54
original,true,070ed6e7dc3f17c641b484e580554d016a1420d3,8,5.61,5.78
original,true,070ed6e7dc3f17c641b484e580554d016a1420d3,9,5.44,5.63
original,true,070ed6e7dc3f17c641b484e580554d016a1420d3,10,5.59,5.8
original,true,070ed6e7dc3f17c641b484e580554d016a1420d3,11,5.63,5.87
original,true,070ed6e7dc3f17c641b484e580554d016a1420d3,12,5.7,5.88
original,true,070ed6e7dc3f17c641b484e580554d016a1420d3,13,5.7,5.93
original,true,070ed6e7dc3f17c641b484e580554d016a1420d3,14,5.58,5.72
original,true,070ed6e7dc3f17c641b484e580554d016a1420d3,15,5.59,5.82
original,true,070ed6e7dc3f17c641b484e580554d016a1420d3,16,5.57,5.72
original,true,070ed6e7dc3f17c641b484e580554d016a1420d3,17,5.54,5.79
original,true,070ed6e7dc3f17c641b484e580554d016a1420d3,18,5.58,5.77
original,true,070ed6e7dc3f17c641b484e580554d016a1420d3,19,5.55,5.74
original,true,070ed6e7dc3f17c641b484e580554d016a1420d3,20,5.5,5.71
original,true,070ed6e7dc3f17c641b484e580554d016a1420d3,21,5.49,5.66
original,true,070ed6e7dc3f17c641b484e580554d016a1420d3,22,5.63,5.8
original,true,070ed6e7dc3f17c641b484e580554d016a1420d3,23,5.51,5.69
original,true,070ed6e7dc3f17c641b484e580554d016a1420d3,24,5.72,5.96
original,true,070ed6e7dc3f17c641b484e580554d016a1420d3,25,5.67,5.92
original,true,070ed6e7dc3f17c641b484e580554d016a1420d3,26,5.54,5.71
original,true,070ed6e7dc3f17c641b484e580554d016a1420d3,27,5.52,5.68
original,true,070ed6e7dc3f17c641b484e580554d016a1420d3,28,5.71,5.86
original,true,070ed6e7dc3f17c641b484e580554d016a1420d3,29,5.82,6.07
original,true,070ed6e7dc3f17c641b484e580554d016a1420d3,30,5.41,5.57
original,false,070ed6e7dc3f17c641b484e580554d016a1420d3,1,5.13,5.36
original,false,070ed6e7dc3f17c641b484e580554d016a1420d3,2,5.37,5.52
original,false,070ed6e7dc3f17c641b484e580554d016a1420d3,3,5.39,5.52
original,false,070ed6e7dc3f17c641b484e580554d016a1420d3,4,5.41,5.55
original,false,070ed6e7dc3f17c641b484e580554d016a1420d3,5,5.24,5.42
original,false,070ed6e7dc3f17c641b484e580554d016a1420d3,6,5.26,5.45
original,false,070ed6e7dc3f17c641b484e580554d016a1420d3,7,5.17,5.35
original,false,070ed6e7dc3f17c641b484e580554d016a1420d3,8,5.42,5.59
